web-scraper-order,web-scraper-start-url,companyName,industry,marketCap
"1700801043-4261","https://www.etmoney.com/stocks/list-of-stocks","Hind Rectifiers Ltd.
                                            HIRECT","Electronics - Equipment/components","₹1130.18 Crs"
"1700801043-4262","https://www.etmoney.com/stocks/list-of-stocks","Hindalco Industries Ltd.
                                            HINDALCO","Non Ferrous Metals","₹112810.27 Crs"
"1700801043-4263","https://www.etmoney.com/stocks/list-of-stocks","Hindcon Chemicals Ltd.
                                            HINDCON","Commodity Chemicals","₹179.17 Crs"
"1700801043-4264","https://www.etmoney.com/stocks/list-of-stocks","Hindprakash Industries Ltd.
                                            HPIL","Dyes & Pigments","₹109.45 Crs"
"1700801043-4265","https://www.etmoney.com/stocks/list-of-stocks","Hinduja Global Solutions Ltd.
                                            HGS","Outsourced Services","₹4386.86 Crs"
"1700801043-4266","https://www.etmoney.com/stocks/list-of-stocks","Hindustan Aeronautics Ltd.
                                            HAL","Aerospace & Defense","₹143519.11 Crs"
"1700801043-4267","https://www.etmoney.com/stocks/list-of-stocks","Hindustan Composites Ltd.
                                            HINDCOMPOS","Auto Ancillaries","₹707.44 Crs"
"1700801043-4268","https://www.etmoney.com/stocks/list-of-stocks","Hindustan Construction Company Ltd.
                                            HCC","Construction & Engineering","₹4539.08 Crs"
"1700801043-4269","https://www.etmoney.com/stocks/list-of-stocks","Hindustan Copper Ltd.
                                            HINDCOPPER","Non Ferrous Metals","₹15665.79 Crs"
"1700801043-4270","https://www.etmoney.com/stocks/list-of-stocks","Hindustan Foods Ltd.
                                            HNDFDS","Food Products","₹5997.91 Crs"
"1700801043-4271","https://www.etmoney.com/stocks/list-of-stocks","Hindustan Media Ventures Ltd.
                                            HMVL","Publishing","₹574.64 Crs"
"1700801043-4272","https://www.etmoney.com/stocks/list-of-stocks","Hindustan Motors Ltd.
                                            HINDMOTORS","Auto - 4w","₹375.59 Crs"
"1700801043-4273","https://www.etmoney.com/stocks/list-of-stocks","Hindustan Oil Exploration Company Ltd.
                                            HINDOILEXP","Oil & Gas Exploration And Production","₹2142.34 Crs"
"1700801043-4274","https://www.etmoney.com/stocks/list-of-stocks","Hindustan Petroleum Corporation Ltd.
                                            HINDPETRO","Oil & Gas - Refining & Marketing","₹46386.53 Crs"
